"Jurisdiction","GHPI","LHPI","Targeted GHPI"
"Gilbert Islands",1.00539562317772e-05,0.000878734622144112,-0.00110127513512529
"Glorioso Islands",0.000590066120086035,0.999814814814815,0.000413042160474377
"Greece",0.000689317108675458,0.420183152355815,0.000244641990063932
"Greenland",0.00312244785819217,0.180895748410447,0.00154064849450275
"Grenada",6.73231135768917e-06,0.153333333333333,-7.30166491791615e-05
"Guadeloupe",0.000854468617184023,0.978849132815549,0.000593696218552429
"Guam",0.000138709979311391,0.10795627471524,-0.000236941894564787
"Guatemala",0.000171007422821616,0.32257636122178,4.69832244251178e-05
"Guernsey",0,0,-2.79641189282907e-06
"Guinea",0.00147180606225058,0.323275786114561,-0.00276831157168709
"Guinea-Bissau",0.00834409057089639,0.238410887062493,0.00332905318705655
"Guyana",0.000535775884213694,0.269372693726937,7.11973770473481e-05
"Haiti",0.000257361267695565,0.160489684315188,-0.000108862418463818
"Hala'ib Triangle",0.00202238681429273,0.626705653021443,0.00133172047101289
"Hawaii",0.00655637491138869,0.383635142476641,0.00345162094318085
"Heard and McDonald Islands",0.000117237996275998,0.42291924070538,2.42567122094874e-05
"ABNJ",0.00868551772635473,0.072290601486927,-0.0703194378200451
"Honduras",0.00120786494748511,0.350202713266451,0.000242559665215072
"Howland and Baker islands",5.99010690011815e-05,0.687739812977167,-7.80958394810925e-05
"Iceland",0.00508289615969915,0.284584759147144,0.00244713898591734
"India",0.00257537023775349,0.213128632511794,0.000110435814135313
"Indonesia",0.0212392018618605,0.16898979786886,-0.00304828127821392
"Iran",0.00346886052024542,0.261769184865751,-0.00201750349080469
"Iraq",4.45323215589875e-05,0.00153280196198651,-0.00434835581486389
"Ireland",0.00331786824686893,0.47772536687631,0.000937456281419663
"Islas San Félix and San Ambrosio",0.00126275194868984,0.648304576408737,0.000678419216217942
"Israel",8.01200523197418e-06,0.328947368421053,-2.85409034167331e-06
"Italy",0.00292528877565321,0.441812159059374,0.00081982039657234
"Ivory Coast",2.20181870224806e-05,0.0612244897959184,-9.4127258161076e-05
"Jamaica",0.000263524289818065,0.177412028592823,-0.000228289883561263
"Jan Mayen",1.08312854918752e-05,0.00574118058490099,-0.000555147366374307
"Japan",0.00151994051371368,0.552206724629188,-0.000159148764370583
"Jarvis Island",0.000710342643318044,0.927876328641195,0.000480675405974587
"Jersey",1.55356216268282e-05,0.714285714285714,9.01066054356033e-06
"Johnston Atoll",0.00105471285651691,1,0.000738298999561837
"Jordan",0,0,-6.89125271110798e-06
"Juan de Nova Island",0,0,-7.20717226786888e-05
"Kenya",0.000396739437403995,0.238474269029655,2.34646776886888e-05
"Kerguélen",0.000348969775600267,0.999956557626309,0.000244270595748493
"Kuril Islands",1.15025215976523e-06,0.333806898903222,-2.98669451475893e-05
"Kuwait",0.00222890902046908,0.0818587781783098,-0.00336392058794714
"Latvia",4.00790894030888e-05,0.9,2.67193929353925e-05
"Lebanon",0,0,-3.30330260780274e-06
"Liberia",0.000166359635280964,0.115646258503401,-4.28383431071616e-05
"Libya",0,0,-5.59558329062418e-05
"Line Group",3.85314238774464e-05,0.0344401512867921,-0.000647055795328423
"Lithuania",2.22661607794938e-06,0.5,6.26493956954874e-07
"Macquarie Island",0.000795799964548624,0.398727748032983,0.000149892103344103
"Madagascar",0.00216749904448157,0.252250349699715,-0.000572493186378799
"Madeira",0.000674446496982926,0.268385962599161,0.00015205786143662
"Malaysia",0.00229273350315208,0.140201278422305,-0.000985087044980354
"Maldives",0.000285595271246922,0.0176907750863943,-0.00251006801675842
"Malta",0.000154500228819265,0.605340008343763,9.10868325460036e-05
"Marshall Islands",0.000640780461268381,0.0483390970840833,-0.0008982145467141
"Martinique",0.000538258995683642,0.996709323583181,0.000375103449842852
"Matthew and Hunter Islands",0.00120206651030579,0.999143131340828,0.000841137288275516
"Mauritania",0.00233361542099524,0.409694227341286,-0.00106109899303136
"Mayotte",0.00137020392268281,0.997142547382302,0.000956127304326714
"Mexico",0.0224691062060761,0.578155240409639,0.0125517284256377
"Micronesia",8.15037821744794e-05,0.00391612080358021,-0.00203555038097544
"Monaco",3.67755370088952e-06,1,2.57428759062266e-06
"Montenegro",1.48441071863292e-06,0.333333333333333,-1.26201470100092e-05
"Montserrat",0,0,-3.83914265752283e-05
"Morocco",7.72585088129616e-05,0.375,-0.000702903773248728
"Mozambique",0.00309541010558782,0.31243195580866,0.000885158754121935
"Myanmar",0.000291789925726843,0.0200465725228846,-0.00274093616279036
"Namibia",0.000219692786357672,0.230529595015576,9.58703691887555e-05
"Nauru",0,0,-3.63257540193671e-05
"Navassa Island",0.000118092632313968,0.365771698750422,5.24594770113841e-05
"Netherlands",0.000328764743783606,0.799756205673759,0.000219664686924592
"New Caledonia",0.00609838293533566,0.663776730648477,0.00388967706780845
"New Zealand",0.00382296129697187,0.230218632760546,-0.000151086037574035
"Nicaragua",0.00192743628092929,0.405611886775837,0.000422052445506028
"Nigeria",0.000688845125533859,0.0136686539261384,-0.00519644188168084
"Niue",0.000181703279276701,0.263391311028764,5.03351622461821e-05
"Norfolk Island",0.00102367058098607,0.466602634793023,0.000646685553844418
"North Korea",0,0,-2.86622609228952e-05
"Northern Mariana Islands",0.000259595157441529,0.177535029957225,-0.000252899863826223
"Norway",0.00407146508035924,0.167840266816793,-0.0109228793616352
"Oecusse",3.66969783708009e-06,0.5,5.57997239600626e-07
"Oman",3.47364200516174e-05,0.184652278177458,-0.000153748964253416
"Pakistan",0.00602171133834052,0.503401360544218,0.00394480524084184
"Palau",0.00192898119065073,0.964443438859514,0.00134185739143635
"Palmyra Atoll",0.000407150283201883,0.602202022920916,0.000126558473857095
"Panama",0.00112936831122935,0.29752729154529,-0.000137402115802748
"Papua New Guinea",0.00142931632040029,0.0419648304435916,-0.00562143365808739
"Peru",0.000105869589848632,0.173581970063314,-0.000204228027200592
"Philippines",0.00611230580365528,0.150997641820409,-0.00267571484296407
"Phoenix Group",0.00106790536552339,0.758428123026804,0.000529822855686757
"Pitcairn",0.00201886859271071,0.880497650240104,0.00140291000777721
"Poland",2.18005611963769e-05,0.770833333333333,1.36602707164693e-05
"Portugal",0.000960049429686749,0.340978359818794,0.000193208757883234
"Prince Edward Islands",0.00057043546144198,0.650564496094074,0.000138302456813355
"Protected Zone established under the Torres Strait Treaty",0,0,-0.000126448521868186
"Puerto Rico",0.000243494349259922,0.223559300217401,-7.87642444098706e-05
"Qatar",9.4302006625827e-05,0.31642604471594,-0.000253200438302119
"Republic of Mauritius",6.30455906253891e-05,0.0356246064134829,-0.000601651474810129
"Réunion",2.28569696949948e-05,0.275456567613939,-8.55507264055391e-05
"Romania",0.000128678132937947,0.9,8.9608624407758e-05
"Russia",0.00354003268888433,0.0992526804968641,-4.34972924798839e-05
"Saba",0.00040802877651773,0.999728260869565,0.000285618081769488
"Saint-Barthélemy",5.42396952601485e-05,1,3.7967786682104e-05
"Saint-Pierre and Miquelon",0,0,-3.08133772341601e-05
"Saint Helena",3.12705260076346e-06,0.00149229255493604,-0.000320971635835038
"Saint Kitts and Nevis",0.000105879174231742,0.470596946912736,3.74702646757261e-05
"Saint Lucia",3.98297482705806e-05,0.181980056980057,-4.02286160751558e-05
"Saint Vincent and the Grenadines",2.96189565838082e-05,0.2,-3.42212616564121e-05
"Samoa",9.55799955680207e-05,0.152007544063786,-0.000199599604213546
"Sao Tome and Principe",0,0,-1.62094005302008e-05
"Saudi Arabia",0.000673714117918822,0.0603143156742619,-0.00387580959347131
"Senegal",0.00172768312282154,0.231722040797528,0.000683417427429775
"Senkaku Islands",0,0,-1.54772309443229e-05
"Serrana Bank",0.000633075908068652,1,0.000443153135648056
"Serranilla Bank",0,0,-4.94830301659273e-08
"Seychelles",0.00204295849143496,0.50242577056399,0.00121784904100672
"Sierra Leone",0.00260248574879536,0.239396112639775,-0.000817072450530187
"Singapore",2.44646522472006e-06,0.0416666666666667,-5.16166381112229e-05
"Sint-Eustatius",8.04316498542176e-05,1,5.63021548979523e-05
"Sint-Maarten",1.55356216268282e-06,0.0208333333333333,-1.16428766549889e-05
