"ID","category","pixel_counts","group","percent_protected","UNION","ISO_TER1","ISO_SOV1"
9,"Seagrasses.Py.v7",0,45,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Seagrasses.Py.v7_with_All_mpas",0,45,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Seagrasses.Py.v7_with_Managed_mpas",0,45,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
9,"Seagrasses.Py.v7_with_No_take_mpas",0,45,NA,"Overlapping claim: Venezuela / Colombia / Dominican Republic","COL","COL"
10,"ColdCorals_Pt_v5",9,46,100,"Nigeria","NGA","NGA"
10,"ColdCorals_Pt_v5_with_All_mpas",0,46,0,"Nigeria","NGA","NGA"
10,"ColdCorals_Pt_v5_with_Managed_mpas",0,46,0,"Nigeria","NGA","NGA"
10,"ColdCorals_Pt_v5_with_No_take_mpas",0,46,0,"Nigeria","NGA","NGA"
10,"CoralReef2018_Py_v4",0,47,NA,"Nigeria","NGA","NGA"
10,"CoralReef2018_Py_v4_with_All_mpas",0,47,NA,"Nigeria","NGA","NGA"
10,"CoralReef2018_Py_v4_with_Managed_mpas",0,47,NA,"Nigeria","NGA","NGA"
10,"CoralReef2018_Py_v4_with_No_take_mpas",0,47,NA,"Nigeria","NGA","NGA"
10,"Mangroves_v2",6931,48,100,"Nigeria","NGA","NGA"
10,"Mangroves_v2_with_All_mpas",386,48,5.56918193622854,"Nigeria","NGA","NGA"
10,"Mangroves_v2_with_Managed_mpas",0,48,0,"Nigeria","NGA","NGA"
10,"Mangroves_v2_with_No_take_mpas",0,48,0,"Nigeria","NGA","NGA"
10,"Saltmarshes_Py_v6",0,49,NA,"Nigeria","NGA","NGA"
10,"Saltmarshes_Py_v6_with_All_mpas",0,49,NA,"Nigeria","NGA","NGA"
10,"Saltmarshes_Py_v6_with_Managed_mpas",0,49,NA,"Nigeria","NGA","NGA"
10,"Saltmarshes_Py_v6_with_No_take_mpas",0,49,NA,"Nigeria","NGA","NGA"
10,"Seagrasses.Py.v7",8873,50,100,"Nigeria","NGA","NGA"
10,"Seagrasses.Py.v7_with_All_mpas",2,50,0.0225402907697509,"Nigeria","NGA","NGA"
10,"Seagrasses.Py.v7_with_Managed_mpas",0,50,0,"Nigeria","NGA","NGA"
10,"Seagrasses.Py.v7_with_No_take_mpas",0,50,0,"Nigeria","NGA","NGA"
11,"ColdCorals_Pt_v5",0,51,NA,"Pakistan","PAK","PAK"
11,"ColdCorals_Pt_v5_with_All_mpas",0,51,NA,"Pakistan","PAK","PAK"
11,"ColdCorals_Pt_v5_with_Managed_mpas",0,51,NA,"Pakistan","PAK","PAK"
11,"ColdCorals_Pt_v5_with_No_take_mpas",0,51,NA,"Pakistan","PAK","PAK"
11,"CoralReef2018_Py_v4",0,52,NA,"Pakistan","PAK","PAK"
11,"CoralReef2018_Py_v4_with_All_mpas",0,52,NA,"Pakistan","PAK","PAK"
11,"CoralReef2018_Py_v4_with_Managed_mpas",0,52,NA,"Pakistan","PAK","PAK"
11,"CoralReef2018_Py_v4_with_No_take_mpas",0,52,NA,"Pakistan","PAK","PAK"
11,"Mangroves_v2",626,53,100,"Pakistan","PAK","PAK"
11,"Mangroves_v2_with_All_mpas",230,53,36.741214057508,"Pakistan","PAK","PAK"
11,"Mangroves_v2_with_Managed_mpas",0,53,0,"Pakistan","PAK","PAK"
11,"Mangroves_v2_with_No_take_mpas",0,53,0,"Pakistan","PAK","PAK"
11,"Saltmarshes_Py_v6",0,54,NA,"Pakistan","PAK","PAK"
11,"Saltmarshes_Py_v6_with_All_mpas",0,54,NA,"Pakistan","PAK","PAK"
11,"Saltmarshes_Py_v6_with_Managed_mpas",0,54,NA,"Pakistan","PAK","PAK"
11,"Saltmarshes_Py_v6_with_No_take_mpas",0,54,NA,"Pakistan","PAK","PAK"
11,"Seagrasses.Py.v7",0,55,NA,"Pakistan","PAK","PAK"
11,"Seagrasses.Py.v7_with_All_mpas",0,55,NA,"Pakistan","PAK","PAK"
11,"Seagrasses.Py.v7_with_Managed_mpas",0,55,NA,"Pakistan","PAK","PAK"
11,"Seagrasses.Py.v7_with_No_take_mpas",0,55,NA,"Pakistan","PAK","PAK"
12,"ColdCorals_Pt_v5",0,56,NA,"Syria","SYR","SYR"
12,"ColdCorals_Pt_v5_with_All_mpas",0,56,NA,"Syria","SYR","SYR"
12,"ColdCorals_Pt_v5_with_Managed_mpas",0,56,NA,"Syria","SYR","SYR"
12,"ColdCorals_Pt_v5_with_No_take_mpas",0,56,NA,"Syria","SYR","SYR"
12,"CoralReef2018_Py_v4",0,57,NA,"Syria","SYR","SYR"
12,"CoralReef2018_Py_v4_with_All_mpas",0,57,NA,"Syria","SYR","SYR"
12,"CoralReef2018_Py_v4_with_Managed_mpas",0,57,NA,"Syria","SYR","SYR"
12,"CoralReef2018_Py_v4_with_No_take_mpas",0,57,NA,"Syria","SYR","SYR"
12,"Mangroves_v2",0,58,NA,"Syria","SYR","SYR"
12,"Mangroves_v2_with_All_mpas",0,58,NA,"Syria","SYR","SYR"
12,"Mangroves_v2_with_Managed_mpas",0,58,NA,"Syria","SYR","SYR"
12,"Mangroves_v2_with_No_take_mpas",0,58,NA,"Syria","SYR","SYR"
12,"Saltmarshes_Py_v6",0,59,NA,"Syria","SYR","SYR"
12,"Saltmarshes_Py_v6_with_All_mpas",0,59,NA,"Syria","SYR","SYR"
12,"Saltmarshes_Py_v6_with_Managed_mpas",0,59,NA,"Syria","SYR","SYR"
12,"Saltmarshes_Py_v6_with_No_take_mpas",0,59,NA,"Syria","SYR","SYR"
12,"Seagrasses.Py.v7",0,60,NA,"Syria","SYR","SYR"
12,"Seagrasses.Py.v7_with_All_mpas",0,60,NA,"Syria","SYR","SYR"
12,"Seagrasses.Py.v7_with_Managed_mpas",0,60,NA,"Syria","SYR","SYR"
12,"Seagrasses.Py.v7_with_No_take_mpas",0,60,NA,"Syria","SYR","SYR"
13,"ColdCorals_Pt_v5",0,61,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"ColdCorals_Pt_v5_with_All_mpas",0,61,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"ColdCorals_Pt_v5_with_Managed_mpas",0,61,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"ColdCorals_Pt_v5_with_No_take_mpas",0,61,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"CoralReef2018_Py_v4",0,62,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"CoralReef2018_Py_v4_with_All_mpas",0,62,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"CoralReef2018_Py_v4_with_Managed_mpas",0,62,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"CoralReef2018_Py_v4_with_No_take_mpas",0,62,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Mangroves_v2",0,63,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Mangroves_v2_with_All_mpas",0,63,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Mangroves_v2_with_Managed_mpas",0,63,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Mangroves_v2_with_No_take_mpas",0,63,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Saltmarshes_Py_v6",0,64,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Saltmarshes_Py_v6_with_All_mpas",0,64,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Saltmarshes_Py_v6_with_Managed_mpas",0,64,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Saltmarshes_Py_v6_with_No_take_mpas",0,64,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Seagrasses.Py.v7",0,65,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Seagrasses.Py.v7_with_All_mpas",0,65,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Seagrasses.Py.v7_with_Managed_mpas",0,65,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
13,"Seagrasses.Py.v7_with_No_take_mpas",0,65,NA,"Overlapping claim: Kenya / Somalia","KEN","KEN"
14,"ColdCorals_Pt_v5",172,66,100,"Philippines","PHL","PHL"
14,"ColdCorals_Pt_v5_with_All_mpas",0,66,0,"Philippines","PHL","PHL"
14,"ColdCorals_Pt_v5_with_Managed_mpas",0,66,0,"Philippines","PHL","PHL"
14,"ColdCorals_Pt_v5_with_No_take_mpas",0,66,0,"Philippines","PHL","PHL"
14,"CoralReef2018_Py_v4",13559,67,100,"Philippines","PHL","PHL"
