"UNION","ISO_TER1","MRGID_EEZ","habitat","total","all_mpas","world_area","global_fraction","LPHPI","GPHPI","Target_analysis"
"Slovenia","SVN",5692,"coldcorals",0,0,15343,0,NA,NA,NA
"Colombia","COL",8426,"coldcorals",53,6,15343,0.00345495296927616,0.113207547169811,0.000391126751238811,-0.000645359139544038
"Nicaragua","NIC",8425,"coldcorals",6,0,15343,0.000391126751238811,0,0,-0.000117338025371643
"Turkey","TUR",5697,"coldcorals",0,0,15343,0,NA,NA,NA
"Sri Lanka","LKA",8346,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"New Zealand","NZL",8455,"coldcorals",828,226,15343,0.0539754916709559,0.272946859903382,0.0147324409633285,-0.00146020653795823
"Cook Islands","COK",8446,"coldcorals",2,2,15343,0.00013037558374627,1,0.00013037558374627,9.12629086223892e-05
"Brunei","BRN",26521,"coldcorals",0,0,15343,0,NA,NA,NA
"Abu musa, Greater and Lesser Tunb","ARE",48947,"coldcorals",0,0,15343,0,NA,NA,NA
"Jersey","JEY",21789,"coldcorals",0,0,15343,0,NA,NA,NA
"China","CHN",8486,"coldcorals",1,0,15343,6.51877918731351e-05,0,0,-1.95563375619405e-05
"Amsterdam and Saint Paul Islands","ATF",8386,"coldcorals",10,10,15343,0.000651877918731351,1,0.000651877918731351,0.000456314543111946
"Croatia","HRV",5673,"coldcorals",73.2932281494141,1,15343,0.00477782370231422,0.0136438252925826,6.51877918731351e-05,-0.00136815931882113
"Iraq","IRQ",8470,"coldcorals",0,0,15343,0,NA,NA,NA
"Chile","CHL",8465,"coldcorals",84,41,15343,0.00547577451734335,0.488095238095238,0.00267269946679854,0.00102996711159554
"Netherlands","NLD",5668,"coldcorals",0,0,15343,0,NA,NA,NA
"Ivory Coast","CIV",8473,"coldcorals",10,0,15343,0.000651877918731351,0,0,-0.000195563375619405
"Grenada","GRD",8419,"coldcorals",15.9422416687012,0,15343,0.00103923953189052,0,0,-0.000311771859567155
"Falkland Islands","FLK",8389,"coldcorals",23,7,15343,0.00149931921308211,0.304347826086957,0.000456314543111946,6.51877918731353e-06
"Norfolk Island","NFK",8310,"coldcorals",40,40,15343,0.0026075116749254,1,0.0026075116749254,0.00182525817244778
"Guadeloupe","GLP",33177,"coldcorals",9,9,15343,0.000586690126858216,1,0.000586690126858216,0.000410683088800751
"Bahamas","BHS",8404,"coldcorals",414.925262451172,31.1470031738281,15343,0.027048061651573,0.0750665384648481,0.00203040436036739,-0.0060840141351045
"Qatar","QAT",8468,"coldcorals",0,0,15343,0,NA,NA,NA
"United States","USA",8456,"coldcorals",1424.50622558594,190.852996826172,15343,0.0928604153554815,0.133978352216515,0.0124412854354686,-0.0154168391711758
"Brazil","BRA",8464,"coldcorals",230,1,15343,0.0149931921308211,0.00434782608695652,6.51877918731351e-05,-0.00443276984737319
"South Korea","KOR",8327,"coldcorals",0,0,15343,0,NA,NA,NA
"Heard and McDonald Islands","HMD",8388,"coldcorals",2,1,15343,0.00013037558374627,0.5,6.51877918731351e-05,2.60751167492541e-05
"Trinidade",NA,8381,"coldcorals",2,1,15343,0.00013037558374627,0.5,6.51877918731351e-05,2.60751167492541e-05
"Wake Island","UMI",8319,"coldcorals",0,0,15343,0,NA,NA,NA
"Western Sahara","ESH",8368,"coldcorals",20,0,15343,0.0013037558374627,0,0,-0.000391126751238811
"Greenland","GRL",8438,"coldcorals",19,0,15343,0.00123856804558957,0,0,-0.00037157041367687
"Galapagos",NA,8403,"coldcorals",53,53,15343,0.00345495296927616,1,0.00345495296927616,0.00241846707849331
"Haiti","HTI",8408,"coldcorals",4,0,15343,0.00026075116749254,0,0,-7.82253502477621e-05
"Howland and Baker islands","UMI",8451,"coldcorals",1,1,15343,6.51877918731351e-05,1,6.51877918731351e-05,4.56314543111946e-05
"Papua New Guinea","PNG",8324,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"Alaska",NA,8463,"coldcorals",248,1,15343,0.0161665723845375,0.00403225806451613,6.51877918731351e-05,-0.00478478392348812
"Saint-Barthélemy","BLM",48952,"coldcorals",1,1,15343,6.51877918731351e-05,1,6.51877918731351e-05,4.56314543111946e-05
"Tanzania","TZA",8479,"coldcorals",0,0,15343,0,NA,NA,NA
"Sierra Leone","SLE",8390,"coldcorals",0,0,15343,0,NA,NA,NA
"Bangladesh","BGD",8481,"coldcorals",0,0,15343,0,NA,NA,NA
"Fiji","FJI",8325,"coldcorals",3,0,15343,0.000195563375619405,0,0,-5.86690126858216e-05
"Israel","ISR",8375,"coldcorals",0,0,15343,0,NA,NA,NA
"El Salvador","SLV",8428,"coldcorals",0,0,15343,0,NA,NA,NA
"French Polynesia","PYF",8440,"coldcorals",0,0,15343,0,NA,NA,NA
"Cayman Islands","CYM",8407,"coldcorals",2,0,15343,0.00013037558374627,0,0,-3.91126751238811e-05
"Maldives","MDV",8345,"coldcorals",0,0,15343,0,NA,NA,NA
"Tunisia","TUN",8366,"coldcorals",11.1269159317017,0,15343,0.000725339079945642,0,0,-0.000217601723983693
"Nauru","NRU",8317,"coldcorals",0,0,15343,0,NA,NA,NA
"Trinidad and Tobago","TTO",8420,"coldcorals",14,0,15343,0.000912629086223892,0,0,-0.000273788725867167
"Cocos Islands","CCK",8308,"coldcorals",0,0,15343,0,NA,NA,NA
"Martinique","MTQ",33178,"coldcorals",6,6,15343,0.000391126751238811,1,0.000391126751238811,0.000273788725867168
"Costa Rica","CRI",8424,"coldcorals",9,3,15343,0.000586690126858216,0.333333333333333,0.000195563375619405,1.95563375619405e-05
"Kuwait","KWT",8357,"coldcorals",0,0,15343,0,NA,NA,NA
