"UNION","MRGID_EEZ","ISO_TER1","G_Hs_P_I","L_Hs_P_I","T_Hs_I"
"Italy",5682,"ITA",0.00299133049760231,0.47178819350631,0.000842721733592615
"Ivory Coast",8473,"CIV",5.91713246831134e-05,0.0993806112787268,-0.000139352130876678
"Jamaica",8459,"JAM",0.000264414388035146,0.178694510237842,-0.000215230432591632
"Jan Mayen",8437,"SJM",4.70736506751721e-06,0.00574118058490099,-0.000241271575913577
"Japan",8487,"JPN",0.00158543073370766,0.559079387661636,0.00024118167552502
"Jarvis Island",8442,"UMI",0.000621957622638942,0.955928530767394,0.000426768044353319
"Jersey",21789,"JEY",8.22779445579837e-06,0.402067011168528,3.42944645368391e-06
"Johnston Atoll",8452,"UMI",0.000816283766176644,1,0.000571398636323651
"Jordan",8491,"JOR",4.28322430635766e-06,0.0195858828671329,-2.2179880765642e-05
"Juan de Nova Island",8339,"ATF",1.14398529242328e-06,0.00686527568652757,-7.61316203348978e-05
"Kenya",8349,"KEN",0.000412344033999426,0.25213058606742,-1.78358079472458e-05
"Kerguélen",8387,"ATF",0.000190434625406673,0.999962155616107,0.000133300653496549
"Kuril Islands",48950,NA,1.98156191855279e-06,0.334846558925005,-6.73538585244616e-05
"Kuwait",8357,"KWT",0.00167323047651139,0.12746187160519,-0.00252314982312484
"Latvia",5683,"LVA",4.00790894030888e-05,0.9,2.67193929353925e-05
"Lebanon",8374,"LBN",8.66202962931466e-08,0.00207974756167527,-7.55899984759536e-06
"Liberia",8391,"LBR",0.000166751915703257,0.11613554146791,-0.000102907124764438
"Libya",8372,"LBY",4.0114157904033e-06,0.00166584800718436,-0.000370243349774492
"Line Group",8441,"KIR",3.97638001365001e-05,0.0347026185017675,-0.000573525212319379
"Lithuania",5684,"LTU",3.3243452881701e-06,0.455313531353135,7.49209289298856e-07
"Macedonia",NA,"MKD",1.01853520813665e-05,0.132017034456059,-1.2960188469516e-05
"Macquarie Island",8311,NA,0.00061420983201472,0.37387549089534,6.54489421716746e-05
"Madagascar",8348,"MDG",0.00218592545675825,0.25929791840966,-0.000624809461033858
"Madeira",8363,NA,0.000664850670868473,0.250731311040238,0.000100312163948165
"Malaysia",8483,"MYS",0.00232123934659013,0.155585447410234,-0.00104246396594068
"Maldives",8345,"MDV",0.000285797634620273,0.0177729603182991,-0.00251683726670454
"Malta",5685,"MLT",0.000152596218027428,0.598249971773738,9.35822418448669e-05
"Marshall Islands",8318,"MHL",0.000638977290992566,0.0478949378617387,-0.000920409618087509
"Martinique",33178,"MTQ",0.000542801831048182,0.996666731877916,0.000378282000882781
"Matthew and Hunter Islands",48948,NA,0.000582154103038857,0.999230974304288,0.000407373461322607
"Mauritania",8369,"MRT",0.00234125831803507,0.413629123478974,-0.00116930276972382
"Mayotte",48944,"MYT",0.00138834704398937,0.99647474810556,0.000968793511513506
"Mexico",8429,"MEX",0.0223693194194394,0.568847033640292,0.012451585114942
"Micronesia",8316,"FSM",8.10087202419361e-05,0.00386349611410962,-0.00199231927374414
"Monaco",21790,"MCO",3.80904741601699e-06,1,2.66633319121189e-06
"Montenegro",5691,"MNE",2.95025570174314e-06,0.271539646959933,-1.40243247492952e-05
"Montserrat",8415,"MSR",0,0,-3.8591085451287e-05
"Morocco",8367,"MAR",8.46062994640354e-05,0.381386723922175,-0.000768478383843856
"Mozambique",8347,"MOZ",0.00317869581916436,0.354788678538584,0.000867696898393358
"Myanmar",8482,"MMR",0.00029827868199123,0.0231703862099166,-0.00285520844172928
"Namibia",8395,"NAM",0.000380985751869048,0.317369211892052,8.69121583408871e-05
"Nauru",8317,"NRU",0,0,-7.89430610447758e-05
"Navassa Island",48951,NA,0.000115283341767979,0.359493523312779,5.3661128439547e-05
"Netherlands",5668,"NLD",0.000230590462254641,0.633357824214925,0.000146464431218012
"New Caledonia",8312,"NCL",0.00604726617272419,0.664237303972502,0.00385477234261411
"New Zealand",8455,"NZL",0.00362955236000038,0.222252302771156,-0.000253767269214895
"Nicaragua",8425,"NIC",0.00194051335341151,0.400075972304408,0.000407402031311133
"Nigeria",8474,"NGA",0.000742242057838431,0.0411196162530439,-0.0052879176595584
"Niue",8447,"NIU",0.000152786264383447,0.231368419941522,2.45170954161424e-05
"Norfolk Island",8310,"NFK",0.00104200376169041,0.475929230294008,0.000659743711538457
"North Korea",8328,"PRK",2.72804151543933e-06,0.00416997677596876,-6.922808194436e-05
"Northern Mariana Islands",48980,"MNP",0.000223645949368894,0.196426402884359,-0.000114518934962018
"Norway",5686,"NOR",0.00406988358568113,0.167840266816793,-0.0109200311169201
"Oecusse",21791,NA,3.66969783708009e-06,0.5,5.57997239600626e-07
"Oman",8354,"OMN",3.67127566969265e-05,0.18568389180827,-0.000171837765523534
"Pakistan",8359,"PAK",0.00604718965307778,0.526122337359765,0.00389955145786749
"Palau",8315,"PLW",0.00165589651792596,0.963462766724597,0.00115151861125369
"Palestine",48953,"PSE",3.01080202287902e-06,0.0811986466892218,-8.11303616522223e-06
"Palmyra Atoll",8443,"UMI",0.000357288571164187,0.584341522115582,0.000123201174910733
"Panama",8423,"PAN",0.00112244034259431,0.291675191877143,-0.000142000468265771
"Papua New Guinea",8324,"PNG",0.00143338970907908,0.04269960647991,-0.00564304864293064
"Peru",8432,"PER",0.000210234133246575,0.197495042194597,-0.000275406956853204
"Philippines",8322,"PHL",0.00394630499788195,0.110599964826441,-0.00480848232241042
"Phoenix Group",8450,"KIR",0.000797678161242088,0.753566821600558,0.000410812259083257
"Pitcairn",8439,"PCN",0.00105565974349813,0.880338618976714,0.000729198194359654
"Poland",5687,"POL",8.37761801769314e-05,0.659931954646698,3.0936953954247e-05
"Portugal",5688,"PRT",0.000963304911635666,0.346926405950497,0.000202595651119981
"Prince Edward Islands",8384,NA,0.000369249799507752,0.650772166734082,0.000137786502139509
"Protected Zone established under the Torres Strait Treaty",21798,"PNG",0,0,-0.000126448521868186
"Puerto Rico",33179,"PRI",0.000244361815590514,0.225756190019993,-8.17588330913697e-05
"Qatar",8468,"QAT",7.61572681624491e-05,0.273885424517341,-0.000203914614170637
"Republic of Mauritius",8343,"MUS",6.04385134884999e-05,0.0356935592250409,-0.000502751690350093
"Republic of the Congo",8394,"COG",0.000224012033841152,0.382190468425129,4.81740271287719e-05
"Réunion",8338,"REU",2.3178452621808e-05,0.277600881283585,-4.75085829015237e-05
"Romania",5689,"ROU",0.000121238014032268,0.676146973410148,4.86335644452523e-05
"Russia",5690,"RUS",0.00378621391027568,0.115237961505626,-0.000648724667982332
"Saba",26518,"BES",0.000405494241497707,0.999802683504341,0.000283845072976364
"Saint-Barthélemy",48952,"BLM",5.38733248297243e-05,1,3.7711327380807e-05
"Saint-Pierre and Miquelon",8494,"SPM",0,0,-3.44740448035516e-05
"Saint Helena",8380,"SHN",5.76174315687861e-06,0.00381557085212438,-0.000230525701978915
"Saint Kitts and Nevis",8413,"KNA",0.000105871402759123,0.469778092063171,3.73225764227801e-05
"Saint Lucia",8416,"LCA",4.00209103037793e-05,0.185355228375479,-4.36894253481907e-05
