"UNION","ISO_TER1","ISO_SOV1","ID","habitat","total","all_mpas","pp_all_mpas","pp_mean_all"
"Chile","CHL","CHL",104,"coldcorals",84,41,48.8095238095238,30.8369535495097
"Chile","CHL","CHL",104,"coralreefs",0,0,NA,30.8369535495097
"Chile","CHL","CHL",104,"mangroves",0,0,NA,30.8369535495097
"Chile","CHL","CHL",104,"saltmarshes",664.777465820312,377,56.7107068731331,30.8369535495097
"Chile","CHL","CHL",104,"seagrasses",1,0,0,30.8369535495097
"Chile","CHL","CHL",104,"knolls_seamounts",506460.78125,90289.71875,17.827583515382,30.8369535495097
"Netherlands","NLD","NLD",105,"coldcorals",0,0,NA,79.7262098757714
"Netherlands","NLD","NLD",105,"coralreefs",0,0,NA,79.7262098757714
"Netherlands","NLD","NLD",105,"mangroves",0,0,NA,79.7262098757714
"Netherlands","NLD","NLD",105,"saltmarshes",140.69596862793,132.946380615234,94.4919615762483,79.7262098757714
"Netherlands","NLD","NLD",105,"seagrasses",31.3931045532227,20.3931045532227,64.9604581752945,79.7262098757714
"Netherlands","NLD","NLD",105,"knolls_seamounts",0,0,NA,79.7262098757714
"Ivory Coast","CIV","CIV",106,"coldcorals",10,0,0,6.1281071371465
"Ivory Coast","CIV","CIV",106,"coralreefs",0,0,NA,6.1281071371465
"Ivory Coast","CIV","CIV",106,"mangroves",48.9547576904297,9,18.3843214114395,6.1281071371465
"Ivory Coast","CIV","CIV",106,"saltmarshes",0,0,NA,6.1281071371465
"Ivory Coast","CIV","CIV",106,"seagrasses",0,0,NA,6.1281071371465
"Ivory Coast","CIV","CIV",106,"knolls_seamounts",10906.5732421875,0,0,6.1281071371465
"Grenada","GRD","GRD",107,"coldcorals",15.9422416687012,0,0,15.3285710122635
"Grenada","GRD","GRD",107,"coralreefs",45.161304473877,3,6.64285506131762,15.3285710122635
"Grenada","GRD","GRD",107,"mangroves",2,1,50,15.3285710122635
"Grenada","GRD","GRD",107,"saltmarshes",0,0,NA,15.3285710122635
"Grenada","GRD","GRD",107,"seagrasses",10,2,20,15.3285710122635
